Feature;Number of comments
I'm not sure;88
I am confused;1
I'm curious;6
I am curious;1
I don't understand;33
I don't know;78
I do not understand;1
I bet;2
I am unsure;1
I'm unsure;1
I'm confused;8
I am not sure;18
I don't get it;2
I do not know;4
Total;244
