.*[Ss]urmis.*,0,0
.*[Ss]uspect.*,250,312
.*[Tt]heoriz.*,1,2
.*[Tt]hink.*,5834,9488
.*[Vv]iew.*,92741,39894
.*[Ww]ish.*,1007,1045
.*[Ww]onder.*,595,712
.*[Ww]orri.*,220,262
.*[Aa]ppear.*,706,892
.*[Ll]ook.*,18728,33047
.*[Ss]eem.*,3686,5226
.*[Ss]ound.*,643,861
.*[Tt]end.*,958,1349
.*[Cc]onsiderably.*,10,12
.*[Dd]ramatically.*,7,7
.*[Dd]rastically.*,9,9
.*[Ff]airly.*,129,150
.*[Gg]reatly.*,42,47
.*[Hh]ighly.*,38,46
.*[Ll]argely.*,25,29
.*[Mm]ainly.*,119,137
.*[Mm]arkedly.*,0,0
.*[Mm]assively.*,3,3
.*[Mm]oderately.*,4,7
.*[Mm]odestly.*,0,0
.*[Mm]ostly.*,434,509
.*[Pp]artially.*,51,57
.*[Pp]artly.*,6,13
.*[Pp]redominantly.*,0,0
.*[Pp]redominately.*,0,0
.*[Pp]rimarily.*,32,35
.*[Pp]rincipally.*,2,2
.*[Qq]uite.*,647,782
.*[Rr]ather.*,1162,1534
.*[Rr]easonably.*,59,67
.*[Rr]elatively.*,73,82
.*[Ss]hortly.*,2666,3367
.*[Ss]ignificantly.*,91,107
.*[Ss]lightly.*,334,383
.*[Ss]omewhat.*,171,203
.*[Ss]trongly.*,115,139
.*[Ss]ubstantially.*,25,28
.*[Vv]astly.*,5,6
.*[Ww]idely.*,30,34
.*[Aa]bout.*,4511,6615
.*[Aa]lmost.*,278,320
.*[Aa]pproximately.*,311,311
.*[Aa]round.*,1226,1612
.*[Bb]asically.*,308,377
.*[Cc]losely.*,81,94
.*[Ee]ssentially.*,154,177
.*[Jj]ust.*,7214,11469
.*[Nn]early.*,56,57
.*[Pp]ractically.*,14,16
.*[Rr]oughly.*,74,79
.*[Ss]ome.*,17398,31240
.*[Vv]irtually.*,8,17
.*[Aa]ppreciable.*,2,2
.*[Cc]entral.*,52,86
.*[Cc]onsiderable.*,10,11
.*[Dd]evastating.*,0,0
.*[Ff]air.*,259,307
.*[Ii]mmense.*,4,4
.*[Ii]mpressive.*,2244,2388
.*[Ll]arge.*,1131,1390
.*[Ll]ittle.*,643,794
.*[Mm]ain.*,3711,7148
.*[Mm]ajor.*,608,715
.*[Mm]arked.*,5519,10999
.*[Mm]oderate.*,6,10
.*[Mm]odest.*,2,2
.*[Nn]egligible.*,17,22
.*[Nn]otable.*,14,15
.*[Nn]oticeable.*,32,38
.*[Pp]rimary.*,92,195
.*[Pp]rincipal.*,10,14
