Feature;Number of comments;Number of features
vastly;5;5
widely;58;59
about;7481;7980
approximately;12;13
around;1614;1674
closely;70;71
just;15325;16789
nearly;45;45
some;5649;6161
appreciable;2;2
central;40;42
considerable;6;6
devastating;0;0
fair;177;177
immense;0;0
impressive;8;8
large;451;478
little;1124;1157
main;824;997
major;105;126
marked;278;295
moderate;4;4
modest;3;3
negligible;19;19
notable;2;2
noticeable;19;20
primary;99;111
principal;3;3
reasonable;412;422
relative;297;354
remarkable;0;0
significant;166;172
slight;66;66
small;641;673
substantial;15;15
tiny;65;67
tremendous;0;0
close;683;821
gross;39;39
proximate;0;0
rough;14;14
virtual;393;467
allegation;0;0
allegations ;0;0
argument;1241;1395
arguments ;674;414
assertion;238;278
assertions ;142;108
clue;42;43
clues;5;5
contention;41;46
contentions;1;1
implication;21;21
implications;46;47
indication;52;54
indications;4;4
prediction;9;10
predictions;0;0
proposal;50;52
proposals;2;2
proposition;7;7
propositions;2;2
suggestion;733;747
suggestions;205;213
approach;553;592
approaches;25;25
approximation;16;16
approximations;0;0
assessment;6;6
assessments;1;1
assumption;266;272
assumptions;123;131
belief;6;6
beliefs;0;0
concept;125;128
concepts;18;18
conceptualization;0;0
conceptualizations;0;0
conclusion;33;33
conclusions;2;2
construct;156;160
constructs;36;36
deduction;4;5
deductions;0;0
estimation;1;1
estimations;1;1
evaluation;51;57
evaluations;3;3
expectancy;0;0
expectancies;0;0
expectation;80;87
expectations;55;62
fantasy;0;0
fantasies;0;0
guess;1642;1680
guesses;9;9
hunch;4;4
hunches;0;0
hypothesis;4;4
hypotheses  ;0;0
idea;1696;1767
ideas;115;118
illusion;3;3
illusions;0;0
impression;63;64
impressions;0;0
inference;11;11
inferences;1;1
interpretation;45;50
interpretations;3;3
judgment;7;7
judgments;0;0
notion;71;78
notions;4;4
opinion;233;236
opinions;57;57
perception;0;0
perceptions;0;0
perspective;83;87
perspectives;0;0
philosophy;10;10
philosophies;0;0
point of view;65;67
points of view;1;1
premise;3;3
premises;0;0
presumption;0;0
presumptions;0;0
projection;10;10
projections;0;0
scenario;185;200
scenarios;50;53
scheme;106;118
schemes;9;10
speculation;4;4
speculations;0;0
supposition;0;0
suppositions;0;0
suspicion;9;9
suspicions;0;0
tenet;0;0
tenets;0;0
theory;145;148
theories;1;1
thesis;0;0
theses;6;6
thinkings;0;0
thoughts;207;207
viewpoint;1;1
viewpoints;0;0
vision;9;9
visions;0;0
alternative;365;375
alternatives;38;42
appearance;11;11
appearances;0;0
avenue;0;0
avenues;0;0
candidate;64;69
candidates;18;20
chance;266;270
chances;33;34
inclination;9;9
inclinations;0;0
likelihood;12;13
likelihoods;0;0
odds;18;19
opportunity;66;67
opportunities;14;14
option;825;950
options;480;551
possibility;144;146
possibilities;29;31
potential;280;291
potentials;1;1
probability;19;20
probabilities;0;0
promise;20;21
promises;9;9
prospect;2;2
prospects;0;0
sign;180;205
signs;15;16
tendency;4;4
tendencies;0;0
threat;1;1
threats;2;3
trend;14;14
trends;0;0
Total;101460;238609
