Feature;Number of comments
I'm not sure;178
I am confused;4
I'm curious;14
I am curious;1
I don't understand;131
I don't know;98
I do not understand;16
I bet;4
I'm unsure;1
I'm confused;19
I am not sure;45
I don't get it;3
I do not know;7
Total;521
